epoch:1 ==>  KL = [1.04907504], logLKH = [-17.32610788], prob_sum = 0.0070, time = 0.10s
epoch:2 ==>  KL = [0.92806454], logLKH = [-15.63196083], prob_sum = 0.0066, time = 0.09s
epoch:3 ==>  KL = [0.83015977], logLKH = [-14.26129412], prob_sum = 0.0056, time = 0.09s
epoch:4 ==>  KL = [0.76155947], logLKH = [-13.30088988], prob_sum = 0.0057, time = 0.10s
epoch:5 ==>  KL = [0.70362297], logLKH = [-12.48977887], prob_sum = 0.0063, time = 0.09s
epoch:6 ==>  KL = [0.64547701], logLKH = [-11.67573551], prob_sum = 0.0069, time = 0.09s
epoch:7 ==>  KL = [0.59623504], logLKH = [-10.98634788], prob_sum = 0.0072, time = 0.10s
epoch:8 ==>  KL = [0.54981258], logLKH = [-10.33643351], prob_sum = 0.0079, time = 0.09s
epoch:9 ==>  KL = [0.51580286], logLKH = [-9.86029738], prob_sum = 0.0090, time = 0.09s
epoch:10 ==>  KL = [0.48773257], logLKH = [-9.46731333], prob_sum = 0.0100, time = 0.09s
epoch:11 ==>  KL = [0.46083856], logLKH = [-9.09079718], prob_sum = 0.0109, time = 0.09s
epoch:12 ==>  KL = [0.44011623], logLKH = [-8.80068451], prob_sum = 0.0117, time = 0.09s
epoch:13 ==>  KL = [0.42450027], logLKH = [-8.58206111], prob_sum = 0.0128, time = 0.09s
epoch:14 ==>  KL = [0.41276586], logLKH = [-8.41777943], prob_sum = 0.0135, time = 0.10s
epoch:15 ==>  KL = [0.40389963], logLKH = [-8.2936521], prob_sum = 0.0139, time = 0.09s
epoch:16 ==>  KL = [0.39244741], logLKH = [-8.13332112], prob_sum = 0.0141, time = 0.09s
epoch:17 ==>  KL = [0.38237298], logLKH = [-7.99227906], prob_sum = 0.0145, time = 0.10s
epoch:18 ==>  KL = [0.37584827], logLKH = [-7.90093306], prob_sum = 0.0152, time = 0.11s
epoch:19 ==>  KL = [0.37077763], logLKH = [-7.82994409], prob_sum = 0.0155, time = 0.09s
epoch:20 ==>  KL = [0.3669806], logLKH = [-7.7767857], prob_sum = 0.0154, time = 0.09s
epoch:21 ==>  KL = [0.36144964], logLKH = [-7.69935226], prob_sum = 0.0158, time = 0.09s
epoch:22 ==>  KL = [0.35557604], logLKH = [-7.61712185], prob_sum = 0.0170, time = 0.09s
epoch:23 ==>  KL = [0.3487018], logLKH = [-7.52088252], prob_sum = 0.0180, time = 0.10s
epoch:24 ==>  KL = [0.33980426], logLKH = [-7.39631701], prob_sum = 0.0189, time = 0.09s
epoch:25 ==>  KL = [0.33370083], logLKH = [-7.31086899], prob_sum = 0.0194, time = 0.09s
epoch:26 ==>  KL = [0.32857338], logLKH = [-7.23908462], prob_sum = 0.0201, time = 0.09s
epoch:27 ==>  KL = [0.32499086], logLKH = [-7.18892943], prob_sum = 0.0207, time = 0.09s
epoch:28 ==>  KL = [0.32125969], logLKH = [-7.13669293], prob_sum = 0.0215, time = 0.09s
epoch:29 ==>  KL = [0.31727914], logLKH = [-7.08096526], prob_sum = 0.0221, time = 0.09s
epoch:30 ==>  KL = [0.31282701], logLKH = [-7.01863544], prob_sum = 0.0231, time = 0.09s
epoch:31 ==>  KL = [0.30954917], logLKH = [-6.97274574], prob_sum = 0.0247, time = 0.09s
epoch:32 ==>  KL = [0.30782447], logLKH = [-6.94859989], prob_sum = 0.0254, time = 0.09s
epoch:33 ==>  KL = [0.30686365], logLKH = [-6.93514839], prob_sum = 0.0259, time = 0.09s
epoch:34 ==>  KL = [0.30433764], logLKH = [-6.8997843], prob_sum = 0.0263, time = 0.09s
epoch:35 ==>  KL = [0.30171369], logLKH = [-6.86304898], prob_sum = 0.0271, time = 0.09s
epoch:36 ==>  KL = [0.29951346], logLKH = [-6.83224574], prob_sum = 0.0276, time = 0.09s
epoch:37 ==>  KL = [0.29736528], logLKH = [-6.80217125], prob_sum = 0.0282, time = 0.09s
epoch:38 ==>  KL = [0.29543072], logLKH = [-6.77508742], prob_sum = 0.0284, time = 0.09s
epoch:39 ==>  KL = [0.29257191], logLKH = [-6.735064], prob_sum = 0.0286, time = 0.09s
epoch:40 ==>  KL = [0.2883842], logLKH = [-6.67643606], prob_sum = 0.0289, time = 0.09s
epoch:41 ==>  KL = [0.28564782], logLKH = [-6.63812682], prob_sum = 0.0294, time = 0.09s
epoch:42 ==>  KL = [0.28398972], logLKH = [-6.61491337], prob_sum = 0.0295, time = 0.09s
epoch:43 ==>  KL = [0.28176462], logLKH = [-6.58376195], prob_sum = 0.0297, time = 0.09s
epoch:44 ==>  KL = [0.2799757], logLKH = [-6.55871707], prob_sum = 0.0299, time = 0.09s
epoch:45 ==>  KL = [0.27846849], logLKH = [-6.53761625], prob_sum = 0.0302, time = 0.09s
epoch:46 ==>  KL = [0.27669488], logLKH = [-6.51278562], prob_sum = 0.0301, time = 0.09s
epoch:47 ==>  KL = [0.27501296], logLKH = [-6.48923877], prob_sum = 0.0306, time = 0.10s
epoch:48 ==>  KL = [0.27366657], logLKH = [-6.47038926], prob_sum = 0.0312, time = 0.09s
epoch:49 ==>  KL = [0.27203396], logLKH = [-6.4475328], prob_sum = 0.0316, time = 0.09s
epoch:50 ==>  KL = [0.27081367], logLKH = [-6.43044873], prob_sum = 0.0319, time = 0.09s
epoch:51 ==>  KL = [0.26929054], logLKH = [-6.40912482], prob_sum = 0.0322, time = 0.09s
epoch:52 ==>  KL = [0.26784151], logLKH = [-6.38883844], prob_sum = 0.0327, time = 0.09s
epoch:53 ==>  KL = [0.26665123], logLKH = [-6.37217451], prob_sum = 0.0328, time = 0.09s
epoch:54 ==>  KL = [0.26576454], logLKH = [-6.35976083], prob_sum = 0.0330, time = 0.09s
epoch:55 ==>  KL = [0.26526527], logLKH = [-6.35277112], prob_sum = 0.0332, time = 0.09s
epoch:56 ==>  KL = [0.26442913], logLKH = [-6.3410652], prob_sum = 0.0337, time = 0.09s
epoch:57 ==>  KL = [0.26351364], logLKH = [-6.32824825], prob_sum = 0.0341, time = 0.09s
epoch:58 ==>  KL = [0.26348341], logLKH = [-6.32782508], prob_sum = 0.0347, time = 0.09s
epoch:59 ==>  KL = [0.26333439], logLKH = [-6.32573882], prob_sum = 0.0354, time = 0.10s
epoch:60 ==>  KL = [0.26258822], logLKH = [-6.31529245], prob_sum = 0.0358, time = 0.10s
epoch:61 ==>  KL = [0.26183208], logLKH = [-6.3047064], prob_sum = 0.0361, time = 0.09s
epoch:62 ==>  KL = [0.26075171], logLKH = [-6.28958129], prob_sum = 0.0365, time = 0.09s
epoch:63 ==>  KL = [0.26058891], logLKH = [-6.28730208], prob_sum = 0.0370, time = 0.09s
epoch:64 ==>  KL = [0.26022672], logLKH = [-6.28223135], prob_sum = 0.0374, time = 0.09s
epoch:65 ==>  KL = [0.25942812], logLKH = [-6.27105101], prob_sum = 0.0382, time = 0.09s
epoch:66 ==>  KL = [0.26065281], logLKH = [-6.28819663], prob_sum = 0.0393, time = 0.09s
epoch:67 ==>  KL = [0.26147538], logLKH = [-6.2997126], prob_sum = 0.0403, time = 0.09s
epoch:68 ==>  KL = [0.26107184], logLKH = [-6.29406307], prob_sum = 0.0408, time = 0.09s
epoch:69 ==>  KL = [0.25805506], logLKH = [-6.25182822], prob_sum = 0.0404, time = 0.09s
epoch:70 ==>  KL = [0.25586407], logLKH = [-6.22115436], prob_sum = 0.0401, time = 0.09s
epoch:71 ==>  KL = [0.25377987], logLKH = [-6.19197548], prob_sum = 0.0401, time = 0.09s
epoch:72 ==>  KL = [0.25231953], logLKH = [-6.17153069], prob_sum = 0.0402, time = 0.09s
epoch:73 ==>  KL = [0.25186794], logLKH = [-6.16520845], prob_sum = 0.0406, time = 0.09s
epoch:74 ==>  KL = [0.25116965], logLKH = [-6.15543246], prob_sum = 0.0409, time = 0.09s
epoch:75 ==>  KL = [0.25032212], logLKH = [-6.14356696], prob_sum = 0.0411, time = 0.09s
epoch:76 ==>  KL = [0.24932801], logLKH = [-6.12964948], prob_sum = 0.0416, time = 0.10s
epoch:77 ==>  KL = [0.24797798], logLKH = [-6.11074898], prob_sum = 0.0418, time = 0.10s
epoch:78 ==>  KL = [0.24689858], logLKH = [-6.09563739], prob_sum = 0.0418, time = 0.09s
epoch:79 ==>  KL = [0.24690188], logLKH = [-6.09568362], prob_sum = 0.0421, time = 0.09s
epoch:80 ==>  KL = [0.24720104], logLKH = [-6.09987194], prob_sum = 0.0425, time = 0.09s
