epoch:0 ==>  KL = [1.65978298], logLKH = [-25.8760191], prob_sum = 0.0000, time = 0.06s
epoch:100 ==>  KL = [1.46367363], logLKH = [-23.13048817], prob_sum = 0.0000, time = 0.06s
epoch:200 ==>  KL = [1.30040915], logLKH = [-20.84478539], prob_sum = 0.0000, time = 0.06s
epoch:300 ==>  KL = [1.16067743], logLKH = [-18.88854132], prob_sum = 0.0000, time = 0.06s
epoch:400 ==>  KL = [1.05972275], logLKH = [-17.47517577], prob_sum = 0.0000, time = 0.06s
epoch:500 ==>  KL = [0.97426387], logLKH = [-16.27875149], prob_sum = 0.0000, time = 0.06s
epoch:600 ==>  KL = [0.90825789], logLKH = [-15.35466773], prob_sum = 0.0001, time = 0.06s
epoch:700 ==>  KL = [0.84618092], logLKH = [-14.48559018], prob_sum = 0.0001, time = 0.06s
epoch:800 ==>  KL = [0.79705348], logLKH = [-13.79780605], prob_sum = 0.0002, time = 0.06s
epoch:900 ==>  KL = [0.75388122], logLKH = [-13.1933944], prob_sum = 0.0004, time = 0.06s
epoch:1000 ==>  KL = [0.71691363], logLKH = [-12.67584809], prob_sum = 0.0007, time = 0.06s
epoch:1100 ==>  KL = [0.68433018], logLKH = [-12.21967991], prob_sum = 0.0011, time = 0.06s
epoch:1200 ==>  KL = [0.65160779], logLKH = [-11.76156637], prob_sum = 0.0018, time = 0.06s
epoch:1300 ==>  KL = [0.62437658], logLKH = [-11.38032943], prob_sum = 0.0026, time = 0.06s
epoch:1400 ==>  KL = [0.59985086], logLKH = [-11.03696941], prob_sum = 0.0038, time = 0.06s
epoch:1500 ==>  KL = [0.57571632], logLKH = [-10.69908582], prob_sum = 0.0051, time = 0.06s
epoch:1600 ==>  KL = [0.55476391], logLKH = [-10.40575206], prob_sum = 0.0067, time = 0.06s
epoch:1700 ==>  KL = [0.53382448], logLKH = [-10.1126001], prob_sum = 0.0090, time = 0.06s
epoch:1800 ==>  KL = [0.517983], logLKH = [-9.89081938], prob_sum = 0.0110, time = 0.06s
epoch:1900 ==>  KL = [0.50068309], logLKH = [-9.64862059], prob_sum = 0.0138, time = 0.06s
epoch:2000 ==>  KL = [0.48742492], logLKH = [-9.46300623], prob_sum = 0.0168, time = 0.06s
epoch:2100 ==>  KL = [0.47361095], logLKH = [-9.26961059], prob_sum = 0.0199, time = 0.06s
epoch:2200 ==>  KL = [0.4618427], logLKH = [-9.10485518], prob_sum = 0.0229, time = 0.06s
epoch:2300 ==>  KL = [0.44942675], logLKH = [-8.93103184], prob_sum = 0.0280, time = 0.06s
epoch:2400 ==>  KL = [0.4398078], logLKH = [-8.79636652], prob_sum = 0.0329, time = 0.06s
epoch:2500 ==>  KL = [0.42784442], logLKH = [-8.62887925], prob_sum = 0.0380, time = 0.06s
epoch:2600 ==>  KL = [0.41610451], logLKH = [-8.46452047], prob_sum = 0.0444, time = 0.06s
epoch:2700 ==>  KL = [0.40650725], logLKH = [-8.33015888], prob_sum = 0.0499, time = 0.06s
epoch:2800 ==>  KL = [0.39730879], logLKH = [-8.20138043], prob_sum = 0.0570, time = 0.06s
epoch:2900 ==>  KL = [0.3871479], logLKH = [-8.05912788], prob_sum = 0.0645, time = 0.06s
epoch:3000 ==>  KL = [0.37920092], logLKH = [-7.94787022], prob_sum = 0.0719, time = 0.06s
epoch:3100 ==>  KL = [0.37172703], logLKH = [-7.84323577], prob_sum = 0.0793, time = 0.06s
epoch:3200 ==>  KL = [0.36387506], logLKH = [-7.73330821], prob_sum = 0.0884, time = 0.06s
epoch:3300 ==>  KL = [0.35774118], logLKH = [-7.64743384], prob_sum = 0.0950, time = 0.06s
epoch:3400 ==>  KL = [0.35145381], logLKH = [-7.55941069], prob_sum = 0.1040, time = 0.06s
epoch:3500 ==>  KL = [0.3460108], logLKH = [-7.48320846], prob_sum = 0.1126, time = 0.06s
epoch:3600 ==>  KL = [0.33920145], logLKH = [-7.38787769], prob_sum = 0.1255, time = 0.06s
epoch:3700 ==>  KL = [0.33391165], logLKH = [-7.3138204], prob_sum = 0.1323, time = 0.06s
epoch:3800 ==>  KL = [0.32768917], logLKH = [-7.22670572], prob_sum = 0.1401, time = 0.06s
epoch:3900 ==>  KL = [0.32123915], logLKH = [-7.13640547], prob_sum = 0.1533, time = 0.06s
epoch:4000 ==>  KL = [0.3168912], logLKH = [-7.0755341], prob_sum = 0.1634, time = 0.06s
epoch:4100 ==>  KL = [0.31265443], logLKH = [-7.0162194], prob_sum = 0.1788, time = 0.06s
epoch:4200 ==>  KL = [0.30704241], logLKH = [-6.9376511], prob_sum = 0.1869, time = 0.06s
epoch:4300 ==>  KL = [0.30251684], logLKH = [-6.87429303], prob_sum = 0.1960, time = 0.06s
epoch:4400 ==>  KL = [0.29816998], logLKH = [-6.81343709], prob_sum = 0.2048, time = 0.06s
epoch:4500 ==>  KL = [0.29264753], logLKH = [-6.7361227], prob_sum = 0.2210, time = 0.06s
epoch:4600 ==>  KL = [0.28914559], logLKH = [-6.68709561], prob_sum = 0.2354, time = 0.06s
epoch:4700 ==>  KL = [0.28460368], logLKH = [-6.62350887], prob_sum = 0.2456, time = 0.06s
epoch:4800 ==>  KL = [0.28194528], logLKH = [-6.58629131], prob_sum = 0.2620, time = 0.06s
epoch:4900 ==>  KL = [0.27844259], logLKH = [-6.53725352], prob_sum = 0.2710, time = 0.06s
epoch:5000 ==>  KL = [0.27536325], logLKH = [-6.49414277], prob_sum = 0.2873, time = 0.06s
epoch:5100 ==>  KL = [0.27186894], logLKH = [-6.44522246], prob_sum = 0.3017, time = 0.06s
epoch:5200 ==>  KL = [0.26882954], logLKH = [-6.40267085], prob_sum = 0.3095, time = 0.06s
epoch:5300 ==>  KL = [0.26659971], logLKH = [-6.37145321], prob_sum = 0.3209, time = 0.06s
epoch:5400 ==>  KL = [0.26402063], logLKH = [-6.33534609], prob_sum = 0.3301, time = 0.06s
epoch:5500 ==>  KL = [0.2604518], logLKH = [-6.28538252], prob_sum = 0.3425, time = 0.06s
epoch:5600 ==>  KL = [0.2579892], logLKH = [-6.25090618], prob_sum = 0.3573, time = 0.06s
epoch:5700 ==>  KL = [0.2538442], logLKH = [-6.19287615], prob_sum = 0.3657, time = 0.06s
epoch:5800 ==>  KL = [0.25085481], logLKH = [-6.15102465], prob_sum = 0.3727, time = 0.06s
epoch:5900 ==>  KL = [0.2473303], logLKH = [-6.10168157], prob_sum = 0.3786, time = 0.06s
epoch:6000 ==>  KL = [0.24522265], logLKH = [-6.07217447], prob_sum = 0.3895, time = 0.06s
epoch:6100 ==>  KL = [0.24247993], logLKH = [-6.03377638], prob_sum = 0.3936, time = 0.06s
epoch:6200 ==>  KL = [0.24085824], logLKH = [-6.01107268], prob_sum = 0.4030, time = 0.06s
epoch:6300 ==>  KL = [0.23857156], logLKH = [-5.97905923], prob_sum = 0.4138, time = 0.06s
epoch:6400 ==>  KL = [0.23681738], logLKH = [-5.95450062], prob_sum = 0.4225, time = 0.06s
epoch:6500 ==>  KL = [0.23592872], logLKH = [-5.94205946], prob_sum = 0.4323, time = 0.06s
epoch:6600 ==>  KL = [0.23309829], logLKH = [-5.90243333], prob_sum = 0.4435, time = 0.06s
epoch:6700 ==>  KL = [0.23048208], logLKH = [-5.86580646], prob_sum = 0.4459, time = 0.06s
epoch:6800 ==>  KL = [0.22869877], logLKH = [-5.8408401], prob_sum = 0.4546, time = 0.06s
