epoch:0 ==>  KL = [0.57893843], logLKH = [-10.74419532], prob_sum = 0.0051, time = 0.04s
epoch:100 ==>  KL = [0.32893059], logLKH = [-7.24408559], prob_sum = 0.0237, time = 0.04s
epoch:200 ==>  KL = [0.27656541], logLKH = [-6.51097313], prob_sum = 0.0313, time = 0.04s
epoch:300 ==>  KL = [0.25328451], logLKH = [-6.18504046], prob_sum = 0.0387, time = 0.04s
epoch:400 ==>  KL = [0.23834956], logLKH = [-5.97595121], prob_sum = 0.0455, time = 0.04s
epoch:500 ==>  KL = [0.22762539], logLKH = [-5.82581282], prob_sum = 0.0528, time = 0.04s
epoch:600 ==>  KL = [0.21796567], logLKH = [-5.6905767], prob_sum = 0.0583, time = 0.04s
epoch:700 ==>  KL = [0.21062555], logLKH = [-5.58781502], prob_sum = 0.0645, time = 0.04s
epoch:800 ==>  KL = [0.20309052], logLKH = [-5.48232466], prob_sum = 0.0715, time = 0.04s
epoch:900 ==>  KL = [0.19668921], logLKH = [-5.39270629], prob_sum = 0.0770, time = 0.04s
epoch:1000 ==>  KL = [0.19170554], logLKH = [-5.32293496], prob_sum = 0.0841, time = 0.04s
epoch:1100 ==>  KL = [0.18743418], logLKH = [-5.2631359], prob_sum = 0.0904, time = 0.04s
epoch:1200 ==>  KL = [0.18310355], logLKH = [-5.20250707], prob_sum = 0.0965, time = 0.04s
epoch:1300 ==>  KL = [0.1788944], logLKH = [-5.14357899], prob_sum = 0.1015, time = 0.04s
epoch:1400 ==>  KL = [0.17574236], logLKH = [-5.09945043], prob_sum = 0.1081, time = 0.04s
epoch:1500 ==>  KL = [0.17168455], logLKH = [-5.04264099], prob_sum = 0.1132, time = 0.04s
epoch:1600 ==>  KL = [0.16831838], logLKH = [-4.9955147], prob_sum = 0.1191, time = 0.04s
epoch:1700 ==>  KL = [0.16488505], logLKH = [-4.94744796], prob_sum = 0.1241, time = 0.04s
epoch:1800 ==>  KL = [0.16131427], logLKH = [-4.89745711], prob_sum = 0.1302, time = 0.04s
epoch:1900 ==>  KL = [0.15734173], logLKH = [-4.84184149], prob_sum = 0.1377, time = 0.04s
epoch:2000 ==>  KL = [0.1551624], logLKH = [-4.81133088], prob_sum = 0.1425, time = 0.04s
epoch:2100 ==>  KL = [0.1510262], logLKH = [-4.75342408], prob_sum = 0.1482, time = 0.04s
epoch:2200 ==>  KL = [0.14835313], logLKH = [-4.71600117], prob_sum = 0.1556, time = 0.04s
