epoch 1: KL = 0.5161, logLKH = -9.8645, prob_sum = 0.0894, lr = 0.0020000
epoch 100: KL = 0.4180, logLKH = -8.4915, prob_sum = 0.0618, lr = 0.0020000
epoch 200: KL = 0.3512, logLKH = -7.5561, prob_sum = 0.0440, lr = 0.0020000
epoch 300: KL = 0.3142, logLKH = -7.0374, prob_sum = 0.0341, lr = 0.0020000
epoch 400: KL = 0.2976, logLKH = -6.8052, prob_sum = 0.0333, lr = 0.0020000
epoch 500: KL = 0.2847, logLKH = -6.6250, prob_sum = 0.0346, lr = 0.0020000
epoch 600: KL = 0.2746, logLKH = -6.4841, prob_sum = 0.0345, lr = 0.0020000
epoch 700: KL = 0.2673, logLKH = -6.3817, prob_sum = 0.0360, lr = 0.0020000
epoch 800: KL = 0.2608, logLKH = -6.2908, prob_sum = 0.0375, lr = 0.0020000
epoch 900: KL = 0.2552, logLKH = -6.2115, prob_sum = 0.0397, lr = 0.0020000
epoch 1000: KL = 0.2508, logLKH = -6.1501, prob_sum = 0.0414, lr = 0.0020000
epoch 1100: KL = 0.2477, logLKH = -6.1063, prob_sum = 0.0431, lr = 0.0020000
epoch 1200: KL = 0.2437, logLKH = -6.0510, prob_sum = 0.0442, lr = 0.0020000
epoch 1300: KL = 0.2409, logLKH = -6.0123, prob_sum = 0.0452, lr = 0.0020000
epoch 1400: KL = 0.2383, logLKH = -5.9758, prob_sum = 0.0461, lr = 0.0020000
epoch 1500: KL = 0.2361, logLKH = -5.9445, prob_sum = 0.0475, lr = 0.0020000
epoch 1600: KL = 0.2340, logLKH = -5.9150, prob_sum = 0.0489, lr = 0.0020000
epoch 1700: KL = 0.2326, logLKH = -5.8956, prob_sum = 0.0506, lr = 0.0020000
epoch 1800: KL = 0.2299, logLKH = -5.8573, prob_sum = 0.0508, lr = 0.0020000
epoch 1900: KL = 0.2280, logLKH = -5.8316, prob_sum = 0.0511, lr = 0.0020000
epoch 2000: KL = 0.2267, logLKH = -5.8127, prob_sum = 0.0520, lr = 0.0020000
epoch 2100: KL = 0.2249, logLKH = -5.7876, prob_sum = 0.0528, lr = 0.0020000
epoch 2200: KL = 0.2234, logLKH = -5.7661, prob_sum = 0.0534, lr = 0.0020000
epoch 2300: KL = 0.2219, logLKH = -5.7461, prob_sum = 0.0544, lr = 0.0020000
epoch 2400: KL = 0.2204, logLKH = -5.7244, prob_sum = 0.0552, lr = 0.0020000
epoch 2500: KL = 0.2192, logLKH = -5.7081, prob_sum = 0.0560, lr = 0.0020000
epoch 2600: KL = 0.2177, logLKH = -5.6864, prob_sum = 0.0567, lr = 0.0020000
epoch 2700: KL = 0.2162, logLKH = -5.6653, prob_sum = 0.0576, lr = 0.0020000
epoch 2800: KL = 0.2150, logLKH = -5.6489, prob_sum = 0.0585, lr = 0.0020000
epoch 2900: KL = 0.2136, logLKH = -5.6301, prob_sum = 0.0596, lr = 0.0020000
epoch 3000: KL = 0.2124, logLKH = -5.6126, prob_sum = 0.0601, lr = 0.0020000
epoch 3100: KL = 0.2113, logLKH = -5.5972, prob_sum = 0.0608, lr = 0.0020000
epoch 3200: KL = 0.2096, logLKH = -5.5738, prob_sum = 0.0621, lr = 0.0020000
epoch 3300: KL = 0.2086, logLKH = -5.5589, prob_sum = 0.0628, lr = 0.0020000
epoch 3400: KL = 0.2074, logLKH = -5.5423, prob_sum = 0.0634, lr = 0.0020000
epoch 3500: KL = 0.2065, logLKH = -5.5296, prob_sum = 0.0643, lr = 0.0020000
epoch 3600: KL = 0.2056, logLKH = -5.5174, prob_sum = 0.0657, lr = 0.0020000
epoch 3700: KL = 0.2047, logLKH = -5.5055, prob_sum = 0.0667, lr = 0.0020000
epoch 3800: KL = 0.2036, logLKH = -5.4888, prob_sum = 0.0668, lr = 0.0020000
epoch 3900: KL = 0.2025, logLKH = -5.4735, prob_sum = 0.0673, lr = 0.0020000
epoch 4000: KL = 0.2017, logLKH = -5.4627, prob_sum = 0.0677, lr = 0.0020000
epoch 4100: KL = 0.2008, logLKH = -5.4502, prob_sum = 0.0683, lr = 0.0020000
epoch 4200: KL = 0.1999, logLKH = -5.4376, prob_sum = 0.0691, lr = 0.0020000
