epoch 1: KL = 0.4045, logLKH = -8.3015, prob_sum = 0.0790, lr = 0.0050000
epoch 10000: KL = 0.1041, logLKH = -4.0967, prob_sum = 0.2571, lr = 0.0050000
epoch 20000: KL = 0.0454, logLKH = -3.2744, prob_sum = 0.5368, lr = 0.0050000
epoch 30000: KL = 0.0222, logLKH = -2.9505, prob_sum = 0.7360, lr = 0.0050000
epoch 40000: KL = 0.0133, logLKH = -2.8253, prob_sum = 0.8318, lr = 0.0050000
epoch 50000: KL = 0.0091, logLKH = -2.7668, prob_sum = 0.8811, lr = 0.0050000
epoch 60000: KL = 0.0068, logLKH = -2.7345, prob_sum = 0.9096, lr = 0.0050000
epoch 70000: KL = 0.0054, logLKH = -2.7145, prob_sum = 0.9277, lr = 0.0050000
epoch 80000: KL = 0.0044, logLKH = -2.7011, prob_sum = 0.9402, lr = 0.0050000
epoch 90000: KL = 0.0037, logLKH = -2.6915, prob_sum = 0.9491, lr = 0.0050000
epoch 100000: KL = 0.0032, logLKH = -2.6844, prob_sum = 0.9559, lr = 0.0050000
epoch 110000: KL = 0.0028, logLKH = -2.6789, prob_sum = 0.9611, lr = 0.0050000
epoch 120000: KL = 0.0025, logLKH = -2.6745, prob_sum = 0.9652, lr = 0.0050000
epoch 130000: KL = 0.0023, logLKH = -2.6710, prob_sum = 0.9686, lr = 0.0050000
epoch 140000: KL = 0.0021, logLKH = -2.6681, prob_sum = 0.9714, lr = 0.0050000
epoch 150000: KL = 0.0019, logLKH = -2.6657, prob_sum = 0.9738, lr = 0.0050000
epoch 160000: KL = 0.0018, logLKH = -2.6637, prob_sum = 0.9758, lr = 0.0050000
epoch 170000: KL = 0.0016, logLKH = -2.6619, prob_sum = 0.9775, lr = 0.0050000
epoch 180000: KL = 0.0015, logLKH = -2.6603, prob_sum = 0.9790, lr = 0.0050000
epoch 190000: KL = 0.0014, logLKH = -2.6590, prob_sum = 0.9803, lr = 0.0050000
epoch 200000: KL = 0.0013, logLKH = -2.6578, prob_sum = 0.9814, lr = 0.0050000
epoch 210000: KL = 0.0013, logLKH = -2.6568, prob_sum = 0.9825, lr = 0.0050000
epoch 220000: KL = 0.0012, logLKH = -2.6558, prob_sum = 0.9834, lr = 0.0050000
epoch 230000: KL = 0.0011, logLKH = -2.6550, prob_sum = 0.9842, lr = 0.0050000
epoch 240000: KL = 0.0011, logLKH = -2.6542, prob_sum = 0.9850, lr = 0.0050000
epoch 250000: KL = 0.0010, logLKH = -2.6535, prob_sum = 0.9857, lr = 0.0050000
epoch 260000: KL = 0.0010, logLKH = -2.6529, prob_sum = 0.9863, lr = 0.0050000
epoch 270000: KL = 0.0009, logLKH = -2.6523, prob_sum = 0.9869, lr = 0.0050000
epoch 280000: KL = 0.0009, logLKH = -2.6517, prob_sum = 0.9874, lr = 0.0050000
epoch 290000: KL = 0.0009, logLKH = -2.6512, prob_sum = 0.9879, lr = 0.0050000
epoch 300000: KL = 0.0008, logLKH = -2.6508, prob_sum = 0.9884, lr = 0.0050000
100%|██████████████████████████████████████████████████████████████████████████| 300000/300000 [05:09<00:00, 969.93it/s]
