epoch: 1, KL = 0.7693, logLKH = -13.4099, prob_sum = 0.0115, lr = 0.0025000
epoch: 100, KL = 0.6012, logLKH = -11.0556, prob_sum = 0.0108, lr = 0.0025000
epoch: 200, KL = 0.4753, logLKH = -9.2926, prob_sum = 0.0134, lr = 0.0025000
epoch: 300, KL = 0.3965, logLKH = -8.1895, prob_sum = 0.0160, lr = 0.0025000
epoch: 400, KL = 0.3630, logLKH = -7.7210, prob_sum = 0.0174, lr = 0.0025000
epoch: 500, KL = 0.3321, logLKH = -7.2882, prob_sum = 0.0225, lr = 0.0025000
epoch: 600, KL = 0.3128, logLKH = -7.0185, prob_sum = 0.0234, lr = 0.0025000
epoch: 700, KL = 0.3058, logLKH = -6.9198, prob_sum = 0.0247, lr = 0.0024999
epoch: 800, KL = 0.2970, logLKH = -6.7966, prob_sum = 0.0279, lr = 0.0024999
epoch: 900, KL = 0.2917, logLKH = -6.7231, prob_sum = 0.0309, lr = 0.0024999
epoch: 1000, KL = 0.2923, logLKH = -6.7317, prob_sum = 0.0326, lr = 0.0024999
epoch: 1100, KL = 0.2763, logLKH = -6.5070, prob_sum = 0.0331, lr = 0.0024998
epoch: 1200, KL = 0.2712, logLKH = -6.4353, prob_sum = 0.0369, lr = 0.0024998
epoch: 1300, KL = 0.2658, logLKH = -6.3603, prob_sum = 0.0365, lr = 0.0024998
epoch: 1400, KL = 0.2659, logLKH = -6.3615, prob_sum = 0.0373, lr = 0.0024998
epoch: 1500, KL = 0.2581, logLKH = -6.2519, prob_sum = 0.0411, lr = 0.0024997
epoch: 1600, KL = 0.2551, logLKH = -6.2111, prob_sum = 0.0432, lr = 0.0024997
epoch: 1700, KL = 0.2499, logLKH = -6.1380, prob_sum = 0.0463, lr = 0.0024996
epoch: 1800, KL = 0.2486, logLKH = -6.1194, prob_sum = 0.0468, lr = 0.0024996
epoch: 1900, KL = 0.2420, logLKH = -6.0264, prob_sum = 0.0503, lr = 0.0024995
epoch: 2000, KL = 0.2421, logLKH = -6.0282, prob_sum = 0.0565, lr = 0.0024995
epoch: 2100, KL = 0.2431, logLKH = -6.0428, prob_sum = 0.0610, lr = 0.0024994
epoch: 2200, KL = 0.2349, logLKH = -5.9275, prob_sum = 0.0586, lr = 0.0024994
epoch: 2300, KL = 0.2316, logLKH = -5.8812, prob_sum = 0.0571, lr = 0.0024993
epoch: 2400, KL = 0.2298, logLKH = -5.8559, prob_sum = 0.0634, lr = 0.0024993
epoch: 2500, KL = 0.2296, logLKH = -5.8528, prob_sum = 0.0607, lr = 0.0024992
epoch: 2600, KL = 0.2261, logLKH = -5.8045, prob_sum = 0.0625, lr = 0.0024992
epoch: 2700, KL = 0.2270, logLKH = -5.8166, prob_sum = 0.0626, lr = 0.0024991
epoch: 2800, KL = 0.2257, logLKH = -5.7994, prob_sum = 0.0636, lr = 0.0024990
epoch: 2900, KL = 0.2186, logLKH = -5.6994, prob_sum = 0.0670, lr = 0.0024989
epoch: 3000, KL = 0.2188, logLKH = -5.7028, prob_sum = 0.0689, lr = 0.0024989
epoch: 3100, KL = 0.2172, logLKH = -5.6802, prob_sum = 0.0701, lr = 0.0024988
epoch: 3200, KL = 0.2147, logLKH = -5.6456, prob_sum = 0.0719, lr = 0.0024987
epoch: 3300, KL = 0.2111, logLKH = -5.5940, prob_sum = 0.0737, lr = 0.0024986
epoch: 3400, KL = 0.2141, logLKH = -5.6370, prob_sum = 0.0795, lr = 0.0024986
epoch: 3500, KL = 0.2117, logLKH = -5.6029, prob_sum = 0.0781, lr = 0.0024985
epoch: 3600, KL = 0.2082, logLKH = -5.5534, prob_sum = 0.0756, lr = 0.0024984
epoch: 3700, KL = 0.2065, logLKH = -5.5298, prob_sum = 0.0773, lr = 0.0024983
epoch: 3800, KL = 0.2035, logLKH = -5.4875, prob_sum = 0.0803, lr = 0.0024982
epoch: 3900, KL = 0.2032, logLKH = -5.4842, prob_sum = 0.0824, lr = 0.0024981
epoch: 4000, KL = 0.2008, logLKH = -5.4500, prob_sum = 0.0813, lr = 0.0024980
epoch: 4100, KL = 0.1998, logLKH = -5.4364, prob_sum = 0.0815, lr = 0.0024979
epoch: 4200, KL = 0.1978, logLKH = -5.4077, prob_sum = 0.0840, lr = 0.0024978
epoch: 4300, KL = 0.1968, logLKH = -5.3945, prob_sum = 0.0848, lr = 0.0024977
epoch: 4400, KL = 0.1952, logLKH = -5.3714, prob_sum = 0.0858, lr = 0.0024976
epoch: 4500, KL = 0.1934, logLKH = -5.3463, prob_sum = 0.0870, lr = 0.0024975
epoch: 4600, KL = 0.1951, logLKH = -5.3708, prob_sum = 0.0891, lr = 0.0024974
epoch: 4700, KL = 0.1909, logLKH = -5.3122, prob_sum = 0.0910, lr = 0.0024972
epoch: 4800, KL = 0.1926, logLKH = -5.3356, prob_sum = 0.0950, lr = 0.0024971
epoch: 4900, KL = 0.1934, logLKH = -5.3464, prob_sum = 0.0975, lr = 0.0024970
epoch: 5000, KL = 0.1884, logLKH = -5.2765, prob_sum = 0.0929, lr = 0.0024969
epoch: 5100, KL = 0.1891, logLKH = -5.2867, prob_sum = 0.0946, lr = 0.0024968
epoch: 5200, KL = 0.1864, logLKH = -5.2493, prob_sum = 0.0942, lr = 0.0024966
epoch: 5300, KL = 0.1850, logLKH = -5.2292, prob_sum = 0.0952, lr = 0.0024965
