epoch 1: KL = 0.8289, logLKH = -14.2438, prob_sum = 0.0249, lr = 0.0250000
epoch 100: KL = 0.2963, logLKH = -6.7878, prob_sum = 0.0253, lr = 0.0250000
epoch 200: KL = 0.2598, logLKH = -6.2762, prob_sum = 0.0318, lr = 0.0250000
epoch 300: KL = 0.2367, logLKH = -5.9526, prob_sum = 0.0417, lr = 0.0250000
epoch 400: KL = 0.2228, logLKH = -5.7583, prob_sum = 0.0491, lr = 0.0250000
epoch 500: KL = 0.2100, logLKH = -5.5788, prob_sum = 0.0571, lr = 0.0250000
epoch 600: KL = 0.2026, logLKH = -5.4759, prob_sum = 0.0645, lr = 0.0250000
epoch 700: KL = 0.1981, logLKH = -5.4119, prob_sum = 0.0692, lr = 0.0250000
epoch 800: KL = 0.1889, logLKH = -5.2836, prob_sum = 0.0746, lr = 0.0250000
epoch 900: KL = 0.1847, logLKH = -5.2252, prob_sum = 0.0815, lr = 0.0250000
epoch 1000: KL = 0.1805, logLKH = -5.1659, prob_sum = 0.0856, lr = 0.0250000
epoch 1100: KL = 0.1746, logLKH = -5.0835, prob_sum = 0.0918, lr = 0.0250000
epoch 1200: KL = 0.1699, logLKH = -5.0178, prob_sum = 0.0956, lr = 0.0250000
epoch 1300: KL = 0.1681, logLKH = -4.9923, prob_sum = 0.1041, lr = 0.0250000
epoch 1400: KL = 0.1629, logLKH = -4.9197, prob_sum = 0.1063, lr = 0.0250000
epoch 1500: KL = 0.1593, logLKH = -4.8696, prob_sum = 0.1108, lr = 0.0250000
epoch 1600: KL = 0.1559, logLKH = -4.8212, prob_sum = 0.1159, lr = 0.0250000
epoch 1700: KL = 0.1515, logLKH = -4.7604, prob_sum = 0.1224, lr = 0.0250000
epoch 1800: KL = 0.1513, logLKH = -4.7566, prob_sum = 0.1281, lr = 0.0250000
epoch 1900: KL = 0.1467, logLKH = -4.6934, prob_sum = 0.1312, lr = 0.0250000
epoch 2000: KL = 0.1437, logLKH = -4.6514, prob_sum = 0.1383, lr = 0.0250000
epoch 2100: KL = 0.1401, logLKH = -4.6008, prob_sum = 0.1443, lr = 0.0250000
epoch 2200: KL = 0.1397, logLKH = -4.5947, prob_sum = 0.1523, lr = 0.0250000
epoch 2300: KL = 0.1364, logLKH = -4.5491, prob_sum = 0.1560, lr = 0.0250000
epoch 2400: KL = 0.1319, logLKH = -4.4860, prob_sum = 0.1617, lr = 0.0250000
epoch 2500: KL = 0.1288, logLKH = -4.4417, prob_sum = 0.1672, lr = 0.0250000
epoch 2600: KL = 0.1265, logLKH = -4.4102, prob_sum = 0.1724, lr = 0.0250000
epoch 2700: KL = 0.1247, logLKH = -4.3853, prob_sum = 0.1792, lr = 0.0250000
epoch 2800: KL = 0.1217, logLKH = -4.3434, prob_sum = 0.1837, lr = 0.0250000
