epoch:1 ==>  KL = [1.04983788], logLKH = [-17.33678768], prob_sum = 0.0001, time = 0.10s
epoch:2 ==>  KL = [1.0468524], logLKH = [-17.29499094], prob_sum = 0.0001, time = 0.07s
epoch:3 ==>  KL = [1.04204999], logLKH = [-17.22775722], prob_sum = 0.0001, time = 0.07s
epoch:4 ==>  KL = [1.03663646], logLKH = [-17.15196778], prob_sum = 0.0002, time = 0.08s
epoch:5 ==>  KL = [1.0325966], logLKH = [-17.09540967], prob_sum = 0.0002, time = 0.07s
epoch:6 ==>  KL = [1.0285556], logLKH = [-17.03883577], prob_sum = 0.0002, time = 0.07s
epoch:7 ==>  KL = [1.02673148], logLKH = [-17.01329807], prob_sum = 0.0002, time = 0.08s
epoch:8 ==>  KL = [1.02412769], logLKH = [-16.97684492], prob_sum = 0.0002, time = 0.07s
epoch:9 ==>  KL = [1.02199702], logLKH = [-16.94701565], prob_sum = 0.0002, time = 0.07s
epoch:10 ==>  KL = [1.01960208], logLKH = [-16.91348652], prob_sum = 0.0002, time = 0.08s
epoch:11 ==>  KL = [1.01715583], logLKH = [-16.87923891], prob_sum = 0.0002, time = 0.07s
epoch:12 ==>  KL = [1.01388043], logLKH = [-16.83338328], prob_sum = 0.0002, time = 0.07s
epoch:13 ==>  KL = [1.01143848], logLKH = [-16.79919607], prob_sum = 0.0002, time = 0.08s
epoch:14 ==>  KL = [1.00922827], logLKH = [-16.76825316], prob_sum = 0.0002, time = 0.07s
epoch:15 ==>  KL = [1.00558963], logLKH = [-16.71731221], prob_sum = 0.0002, time = 0.08s
epoch:16 ==>  KL = [1.00282005], logLKH = [-16.67853806], prob_sum = 0.0002, time = 0.08s
epoch:17 ==>  KL = [0.9994564], logLKH = [-16.63144687], prob_sum = 0.0002, time = 0.12s
epoch:18 ==>  KL = [0.99641595], logLKH = [-16.58888069], prob_sum = 0.0002, time = 0.07s
epoch:19 ==>  KL = [0.99204675], logLKH = [-16.52771187], prob_sum = 0.0002, time = 0.09s
epoch:20 ==>  KL = [0.98786279], logLKH = [-16.46913645], prob_sum = 0.0002, time = 0.07s
epoch:21 ==>  KL = [0.98506186], logLKH = [-16.42992335], prob_sum = 0.0002, time = 0.07s
epoch:22 ==>  KL = [0.98327944], logLKH = [-16.40496956], prob_sum = 0.0002, time = 0.08s
epoch:23 ==>  KL = [0.97911995], logLKH = [-16.34673664], prob_sum = 0.0002, time = 0.07s
epoch:24 ==>  KL = [0.97609825], logLKH = [-16.30443277], prob_sum = 0.0002, time = 0.07s
epoch:25 ==>  KL = [0.97347636], logLKH = [-16.26772634], prob_sum = 0.0002, time = 0.08s
epoch:26 ==>  KL = [0.97154669], logLKH = [-16.24071096], prob_sum = 0.0002, time = 0.08s
epoch:27 ==>  KL = [0.96768398], logLKH = [-16.18663299], prob_sum = 0.0002, time = 0.07s
epoch:28 ==>  KL = [0.96385601], logLKH = [-16.13304144], prob_sum = 0.0002, time = 0.07s
epoch:29 ==>  KL = [0.95969589], logLKH = [-16.07479974], prob_sum = 0.0002, time = 0.10s
epoch:30 ==>  KL = [0.9571849], logLKH = [-16.03964596], prob_sum = 0.0002, time = 0.07s
epoch:31 ==>  KL = [0.95352483], logLKH = [-15.98840497], prob_sum = 0.0003, time = 0.07s
epoch:32 ==>  KL = [0.95171104], logLKH = [-15.96301188], prob_sum = 0.0002, time = 0.08s
epoch:33 ==>  KL = [0.95043287], logLKH = [-15.94511757], prob_sum = 0.0003, time = 0.07s
epoch:34 ==>  KL = [0.9481262], logLKH = [-15.91282418], prob_sum = 0.0003, time = 0.07s
epoch:35 ==>  KL = [0.94629812], logLKH = [-15.88723106], prob_sum = 0.0003, time = 0.07s
