epoch:1 ==>  KL = [1.15414065], logLKH = [-18.79702648], prob_sum = 0.0109, time = 0.07s
epoch:2 ==>  KL = [1.13965224], logLKH = [-18.5941887], prob_sum = 0.0110, time = 0.04s
epoch:3 ==>  KL = [1.12371713], logLKH = [-18.37109717], prob_sum = 0.0110, time = 0.05s
epoch:4 ==>  KL = [1.10729475], logLKH = [-18.14118385], prob_sum = 0.0111, time = 0.05s
epoch:5 ==>  KL = [1.09079059], logLKH = [-17.91012561], prob_sum = 0.0112, time = 0.05s
epoch:6 ==>  KL = [1.07408089], logLKH = [-17.67618975], prob_sum = 0.0113, time = 0.05s
epoch:7 ==>  KL = [1.05782797], logLKH = [-17.44864885], prob_sum = 0.0114, time = 0.05s
epoch:8 ==>  KL = [1.04112888], logLKH = [-17.21486161], prob_sum = 0.0115, time = 0.05s
epoch:9 ==>  KL = [1.02521075], logLKH = [-16.99200789], prob_sum = 0.0116, time = 0.04s
epoch:10 ==>  KL = [1.00930646], logLKH = [-16.76934778], prob_sum = 0.0117, time = 0.04s
epoch:11 ==>  KL = [0.99354274], logLKH = [-16.54865575], prob_sum = 0.0118, time = 0.05s
epoch:12 ==>  KL = [0.97673235], logLKH = [-16.31331023], prob_sum = 0.0120, time = 0.05s
epoch:13 ==>  KL = [0.96075691], logLKH = [-16.08965402], prob_sum = 0.0122, time = 0.05s
epoch:14 ==>  KL = [0.94560958], logLKH = [-15.87759139], prob_sum = 0.0124, time = 0.04s
epoch:15 ==>  KL = [0.93168552], logLKH = [-15.68265464], prob_sum = 0.0126, time = 0.04s
epoch:16 ==>  KL = [0.91884332], logLKH = [-15.50286379], prob_sum = 0.0129, time = 0.05s
epoch:17 ==>  KL = [0.90639639], logLKH = [-15.32860677], prob_sum = 0.0130, time = 0.05s
epoch:18 ==>  KL = [0.89255178], logLKH = [-15.13478227], prob_sum = 0.0133, time = 0.04s
epoch:19 ==>  KL = [0.8790126], logLKH = [-14.9452338], prob_sum = 0.0136, time = 0.04s
epoch:20 ==>  KL = [0.86601173], logLKH = [-14.7632215], prob_sum = 0.0140, time = 0.04s
epoch:21 ==>  KL = [0.85144245], logLKH = [-14.55925159], prob_sum = 0.0143, time = 0.05s
epoch:22 ==>  KL = [0.83691155], logLKH = [-14.35581903], prob_sum = 0.0147, time = 0.05s
epoch:23 ==>  KL = [0.82261973], logLKH = [-14.15573356], prob_sum = 0.0150, time = 0.05s
epoch:24 ==>  KL = [0.80922487], logLKH = [-13.96820545], prob_sum = 0.0152, time = 0.04s
epoch:25 ==>  KL = [0.7962002], logLKH = [-13.78586017], prob_sum = 0.0156, time = 0.05s
epoch:26 ==>  KL = [0.78475318], logLKH = [-13.62560182], prob_sum = 0.0160, time = 0.05s
epoch:27 ==>  KL = [0.77295468], logLKH = [-13.46042281], prob_sum = 0.0165, time = 0.05s
epoch:28 ==>  KL = [0.76060148], logLKH = [-13.28747811], prob_sum = 0.0169, time = 0.05s
epoch:29 ==>  KL = [0.74854636], logLKH = [-13.11870632], prob_sum = 0.0176, time = 0.05s
epoch:30 ==>  KL = [0.73597967], logLKH = [-12.94277273], prob_sum = 0.0181, time = 0.05s
epoch:31 ==>  KL = [0.72361715], logLKH = [-12.76969747], prob_sum = 0.0187, time = 0.05s
epoch:32 ==>  KL = [0.71137859], logLKH = [-12.59835755], prob_sum = 0.0195, time = 0.04s
epoch:33 ==>  KL = [0.69987376], logLKH = [-12.43728991], prob_sum = 0.0202, time = 0.04s
epoch:34 ==>  KL = [0.68862507], logLKH = [-12.27980827], prob_sum = 0.0209, time = 0.04s
epoch:35 ==>  KL = [0.67871382], logLKH = [-12.1410508], prob_sum = 0.0214, time = 0.04s
epoch:36 ==>  KL = [0.66825566], logLKH = [-11.99463653], prob_sum = 0.0220, time = 0.05s
epoch:37 ==>  KL = [0.65869372], logLKH = [-11.86076947], prob_sum = 0.0225, time = 0.05s
epoch:38 ==>  KL = [0.64880551], logLKH = [-11.72233442], prob_sum = 0.0229, time = 0.05s
epoch:39 ==>  KL = [0.64025967], logLKH = [-11.60269273], prob_sum = 0.0234, time = 0.05s
epoch:40 ==>  KL = [0.63206935], logLKH = [-11.4880282], prob_sum = 0.0239, time = 0.05s
epoch:41 ==>  KL = [0.62303138], logLKH = [-11.36149668], prob_sum = 0.0242, time = 0.05s
epoch:42 ==>  KL = [0.61398474], logLKH = [-11.23484367], prob_sum = 0.0247, time = 0.04s
epoch:43 ==>  KL = [0.60526513], logLKH = [-11.11276916], prob_sum = 0.0252, time = 0.04s
epoch:44 ==>  KL = [0.59658125], logLKH = [-10.99119482], prob_sum = 0.0256, time = 0.05s
epoch:45 ==>  KL = [0.58891066], logLKH = [-10.8838066], prob_sum = 0.0260, time = 0.04s
epoch:46 ==>  KL = [0.58295442], logLKH = [-10.80041925], prob_sum = 0.0262, time = 0.05s
epoch:47 ==>  KL = [0.57649429], logLKH = [-10.70997737], prob_sum = 0.0264, time = 0.05s
epoch:48 ==>  KL = [0.56911504], logLKH = [-10.60666784], prob_sum = 0.0268, time = 0.04s
epoch:49 ==>  KL = [0.56210578], logLKH = [-10.50853822], prob_sum = 0.0271, time = 0.05s
epoch:50 ==>  KL = [0.55563899], logLKH = [-10.41800319], prob_sum = 0.0274, time = 0.04s
epoch:51 ==>  KL = [0.54929212], logLKH = [-10.32914695], prob_sum = 0.0276, time = 0.05s
epoch:52 ==>  KL = [0.5427875], logLKH = [-10.23808238], prob_sum = 0.0277, time = 0.05s
epoch:53 ==>  KL = [0.53739584], logLKH = [-10.16259904], prob_sum = 0.0280, time = 0.04s
epoch:54 ==>  KL = [0.53111414], logLKH = [-10.07465529], prob_sum = 0.0281, time = 0.04s
epoch:55 ==>  KL = [0.5245668], logLKH = [-9.98299257], prob_sum = 0.0284, time = 0.04s
epoch:56 ==>  KL = [0.51849456], logLKH = [-9.89798123], prob_sum = 0.0288, time = 0.05s
epoch:57 ==>  KL = [0.513148], logLKH = [-9.82312939], prob_sum = 0.0289, time = 0.05s
epoch:58 ==>  KL = [0.50735325], logLKH = [-9.7420029], prob_sum = 0.0291, time = 0.04s
epoch:59 ==>  KL = [0.50177235], logLKH = [-9.66387024], prob_sum = 0.0290, time = 0.04s
epoch:60 ==>  KL = [0.49604367], logLKH = [-9.58366877], prob_sum = 0.0290, time = 0.05s
epoch:61 ==>  KL = [0.49063861], logLKH = [-9.5079979], prob_sum = 0.0289, time = 0.06s
epoch:62 ==>  KL = [0.48547999], logLKH = [-9.43577722], prob_sum = 0.0288, time = 0.05s
epoch:63 ==>  KL = [0.48163797], logLKH = [-9.38198886], prob_sum = 0.0288, time = 0.05s
epoch:64 ==>  KL = [0.47730422], logLKH = [-9.32131635], prob_sum = 0.0288, time = 0.05s
epoch:65 ==>  KL = [0.47321052], logLKH = [-9.26400457], prob_sum = 0.0289, time = 0.05s
epoch:66 ==>  KL = [0.46954012], logLKH = [-9.21261907], prob_sum = 0.0289, time = 0.05s
epoch:67 ==>  KL = [0.46536841], logLKH = [-9.15421513], prob_sum = 0.0289, time = 0.05s
epoch:68 ==>  KL = [0.46118428], logLKH = [-9.0956373], prob_sum = 0.0289, time = 0.04s
epoch:69 ==>  KL = [0.45706683], logLKH = [-9.03799301], prob_sum = 0.0290, time = 0.04s
epoch:70 ==>  KL = [0.45251747], logLKH = [-8.97430194], prob_sum = 0.0290, time = 0.05s
epoch:71 ==>  KL = [0.44815659], logLKH = [-8.91324954], prob_sum = 0.0288, time = 0.05s
epoch:72 ==>  KL = [0.44511322], logLKH = [-8.8706424], prob_sum = 0.0287, time = 0.05s
epoch:73 ==>  KL = [0.4421318], logLKH = [-8.82890257], prob_sum = 0.0286, time = 0.04s
epoch:74 ==>  KL = [0.43876032], logLKH = [-8.78170187], prob_sum = 0.0285, time = 0.04s
epoch:75 ==>  KL = [0.43669818], logLKH = [-8.75283182], prob_sum = 0.0285, time = 0.04s
epoch:76 ==>  KL = [0.43362122], logLKH = [-8.70975438], prob_sum = 0.0284, time = 0.05s
epoch:77 ==>  KL = [0.42995864], logLKH = [-8.65847835], prob_sum = 0.0282, time = 0.04s
epoch:78 ==>  KL = [0.42585644], logLKH = [-8.60104747], prob_sum = 0.0280, time = 0.04s
epoch:79 ==>  KL = [0.42180546], logLKH = [-8.54433382], prob_sum = 0.0278, time = 0.04s
epoch:80 ==>  KL = [0.41786396], logLKH = [-8.48915276], prob_sum = 0.0276, time = 0.04s
epoch:81 ==>  KL = [0.41431145], logLKH = [-8.43941766], prob_sum = 0.0276, time = 0.05s
epoch:82 ==>  KL = [0.41126605], logLKH = [-8.396782], prob_sum = 0.0275, time = 0.04s
epoch:83 ==>  KL = [0.40857264], logLKH = [-8.35907426], prob_sum = 0.0273, time = 0.04s
epoch:84 ==>  KL = [0.40584877], logLKH = [-8.32094016], prob_sum = 0.0272, time = 0.04s
epoch:85 ==>  KL = [0.40373286], logLKH = [-8.29131742], prob_sum = 0.0270, time = 0.04s
epoch:86 ==>  KL = [0.40219667], logLKH = [-8.2698107], prob_sum = 0.0269, time = 0.05s
epoch:87 ==>  KL = [0.39991571], logLKH = [-8.23787728], prob_sum = 0.0267, time = 0.05s
epoch:88 ==>  KL = [0.39790181], logLKH = [-8.20968264], prob_sum = 0.0265, time = 0.04s
epoch:89 ==>  KL = [0.39581907], logLKH = [-8.18052436], prob_sum = 0.0263, time = 0.04s
epoch:90 ==>  KL = [0.39389153], logLKH = [-8.15353878], prob_sum = 0.0262, time = 0.04s
epoch:91 ==>  KL = [0.39177202], logLKH = [-8.12386567], prob_sum = 0.0261, time = 0.05s
epoch:92 ==>  KL = [0.39048162], logLKH = [-8.10580001], prob_sum = 0.0260, time = 0.05s
epoch:93 ==>  KL = [0.38843455], logLKH = [-8.07714097], prob_sum = 0.0259, time = 0.05s
epoch:94 ==>  KL = [0.38616132], logLKH = [-8.04531584], prob_sum = 0.0258, time = 0.04s
epoch:95 ==>  KL = [0.38378824], logLKH = [-8.01209267], prob_sum = 0.0257, time = 0.04s
epoch:96 ==>  KL = [0.38187625], logLKH = [-7.98532486], prob_sum = 0.0256, time = 0.04s
epoch:97 ==>  KL = [0.3801608], logLKH = [-7.96130846], prob_sum = 0.0256, time = 0.05s
epoch:98 ==>  KL = [0.3785901], logLKH = [-7.93931868], prob_sum = 0.0255, time = 0.04s
epoch:99 ==>  KL = [0.37677768], logLKH = [-7.9139449], prob_sum = 0.0254, time = 0.04s
epoch:100 ==>  KL = [0.37461279], logLKH = [-7.88363634], prob_sum = 0.0253, time = 0.04s
epoch:101 ==>  KL = [0.37266262], logLKH = [-7.85633407], prob_sum = 0.0252, time = 0.05s
epoch:102 ==>  KL = [0.37075476], logLKH = [-7.82962395], prob_sum = 0.0251, time = 0.04s
epoch:103 ==>  KL = [0.36891881], logLKH = [-7.80392071], prob_sum = 0.0249, time = 0.04s
epoch:104 ==>  KL = [0.36712631], logLKH = [-7.7788257], prob_sum = 0.0248, time = 0.04s
epoch:105 ==>  KL = [0.36578196], logLKH = [-7.76000476], prob_sum = 0.0246, time = 0.04s
epoch:106 ==>  KL = [0.36434729], logLKH = [-7.73991945], prob_sum = 0.0246, time = 0.05s
epoch:107 ==>  KL = [0.36296149], logLKH = [-7.72051818], prob_sum = 0.0245, time = 0.05s
epoch:108 ==>  KL = [0.36175334], logLKH = [-7.7036041], prob_sum = 0.0244, time = 0.04s
epoch:109 ==>  KL = [0.36029837], logLKH = [-7.68323454], prob_sum = 0.0242, time = 0.04s
epoch:110 ==>  KL = [0.35874141], logLKH = [-7.66143713], prob_sum = 0.0241, time = 0.04s
epoch:111 ==>  KL = [0.35737207], logLKH = [-7.64226636], prob_sum = 0.0239, time = 0.05s
epoch:112 ==>  KL = [0.35624709], logLKH = [-7.62651658], prob_sum = 0.0238, time = 0.05s
epoch:113 ==>  KL = [0.35529592], logLKH = [-7.61320019], prob_sum = 0.0237, time = 0.04s
epoch:114 ==>  KL = [0.35436117], logLKH = [-7.60011374], prob_sum = 0.0237, time = 0.04s
epoch:115 ==>  KL = [0.35291205], logLKH = [-7.57982597], prob_sum = 0.0236, time = 0.04s
epoch:116 ==>  KL = [0.35154865], logLKH = [-7.56073843], prob_sum = 0.0236, time = 0.05s
epoch:117 ==>  KL = [0.35039883], logLKH = [-7.54464092], prob_sum = 0.0235, time = 0.04s
epoch:118 ==>  KL = [0.34928824], logLKH = [-7.52909273], prob_sum = 0.0235, time = 0.04s
epoch:119 ==>  KL = [0.3482475], logLKH = [-7.51452227], prob_sum = 0.0235, time = 0.04s
epoch:120 ==>  KL = [0.34743706], logLKH = [-7.50317616], prob_sum = 0.0235, time = 0.04s
epoch:121 ==>  KL = [0.34656268], logLKH = [-7.49093488], prob_sum = 0.0234, time = 0.05s
epoch:122 ==>  KL = [0.34560542], logLKH = [-7.47753324], prob_sum = 0.0233, time = 0.04s
epoch:123 ==>  KL = [0.34441047], logLKH = [-7.46080391], prob_sum = 0.0233, time = 0.04s
epoch:124 ==>  KL = [0.3433369], logLKH = [-7.44577394], prob_sum = 0.0233, time = 0.04s
epoch:125 ==>  KL = [0.34223123], logLKH = [-7.4302946], prob_sum = 0.0233, time = 0.04s
epoch:126 ==>  KL = [0.3409391], logLKH = [-7.4122048], prob_sum = 0.0232, time = 0.05s
epoch:127 ==>  KL = [0.33981233], logLKH = [-7.39642998], prob_sum = 0.0231, time = 0.05s
epoch:128 ==>  KL = [0.33879967], logLKH = [-7.38225273], prob_sum = 0.0231, time = 0.04s
epoch:129 ==>  KL = [0.33767633], logLKH = [-7.36652601], prob_sum = 0.0230, time = 0.04s
epoch:130 ==>  KL = [0.33693373], logLKH = [-7.3561296], prob_sum = 0.0230, time = 0.04s
epoch:131 ==>  KL = [0.3361723], logLKH = [-7.34546949], prob_sum = 0.0229, time = 0.04s
epoch:132 ==>  KL = [0.33533461], logLKH = [-7.3337418], prob_sum = 0.0229, time = 0.05s
epoch:133 ==>  KL = [0.33443554], logLKH = [-7.32115492], prob_sum = 0.0229, time = 0.04s
epoch:134 ==>  KL = [0.33330618], logLKH = [-7.30534381], prob_sum = 0.0229, time = 0.04s
epoch:135 ==>  KL = [0.33252599], logLKH = [-7.29442121], prob_sum = 0.0229, time = 0.04s
epoch:136 ==>  KL = [0.33154399], logLKH = [-7.28067317], prob_sum = 0.0229, time = 0.05s
epoch:137 ==>  KL = [0.33087656], logLKH = [-7.27132912], prob_sum = 0.0229, time = 0.05s
epoch:138 ==>  KL = [0.33006767], logLKH = [-7.2600047], prob_sum = 0.0229, time = 0.04s
epoch:139 ==>  KL = [0.32915536], logLKH = [-7.2472324], prob_sum = 0.0229, time = 0.04s
epoch:140 ==>  KL = [0.32860297], logLKH = [-7.23949892], prob_sum = 0.0230, time = 0.04s
epoch:141 ==>  KL = [0.32788383], logLKH = [-7.229431], prob_sum = 0.0230, time = 0.05s
epoch:142 ==>  KL = [0.3270673], logLKH = [-7.21799957], prob_sum = 0.0230, time = 0.05s
epoch:143 ==>  KL = [0.32643422], logLKH = [-7.20913642], prob_sum = 0.0230, time = 0.04s
epoch:144 ==>  KL = [0.32573375], logLKH = [-7.19932982], prob_sum = 0.0231, time = 0.04s
epoch:145 ==>  KL = [0.3251182], logLKH = [-7.1907122], prob_sum = 0.0231, time = 0.04s
epoch:146 ==>  KL = [0.3245396], logLKH = [-7.18261168], prob_sum = 0.0231, time = 0.05s
epoch:147 ==>  KL = [0.3240995], logLKH = [-7.17645031], prob_sum = 0.0231, time = 0.04s
epoch:148 ==>  KL = [0.32364536], logLKH = [-7.1700923], prob_sum = 0.0231, time = 0.04s
epoch:149 ==>  KL = [0.32313285], logLKH = [-7.16291721], prob_sum = 0.0231, time = 0.04s
epoch:150 ==>  KL = [0.3224653], logLKH = [-7.15357159], prob_sum = 0.0232, time = 0.04s
epoch:151 ==>  KL = [0.32175786], logLKH = [-7.14366733], prob_sum = 0.0232, time = 0.05s
epoch:152 ==>  KL = [0.32124374], logLKH = [-7.13646969], prob_sum = 0.0232, time = 0.05s
epoch:153 ==>  KL = [0.3206109], logLKH = [-7.12760995], prob_sum = 0.0233, time = 0.05s
epoch:154 ==>  KL = [0.32006823], logLKH = [-7.1200125], prob_sum = 0.0234, time = 0.05s
epoch:155 ==>  KL = [0.31963608], logLKH = [-7.11396242], prob_sum = 0.0235, time = 0.05s
epoch:156 ==>  KL = [0.31908453], logLKH = [-7.10624071], prob_sum = 0.0235, time = 0.06s
epoch:157 ==>  KL = [0.31862718], logLKH = [-7.09983781], prob_sum = 0.0235, time = 0.05s
epoch:158 ==>  KL = [0.31802788], logLKH = [-7.09144769], prob_sum = 0.0235, time = 0.05s
epoch:159 ==>  KL = [0.31743541], logLKH = [-7.08315308], prob_sum = 0.0236, time = 0.05s
epoch:160 ==>  KL = [0.31696515], logLKH = [-7.07656939], prob_sum = 0.0236, time = 0.05s
epoch:161 ==>  KL = [0.31643269], logLKH = [-7.06911501], prob_sum = 0.0236, time = 0.06s
epoch:162 ==>  KL = [0.31598934], logLKH = [-7.06290813], prob_sum = 0.0236, time = 0.06s
epoch:163 ==>  KL = [0.31548929], logLKH = [-7.05590736], prob_sum = 0.0236, time = 0.05s
epoch:164 ==>  KL = [0.31485797], logLKH = [-7.04706886], prob_sum = 0.0236, time = 0.05s
epoch:165 ==>  KL = [0.31427844], logLKH = [-7.03895555], prob_sum = 0.0237, time = 0.04s
epoch:166 ==>  KL = [0.31369584], logLKH = [-7.03079904], prob_sum = 0.0237, time = 0.05s
epoch:167 ==>  KL = [0.31318107], logLKH = [-7.02359227], prob_sum = 0.0237, time = 0.05s
epoch:168 ==>  KL = [0.31266219], logLKH = [-7.01632802], prob_sum = 0.0238, time = 0.05s
epoch:169 ==>  KL = [0.31214679], logLKH = [-7.00911242], prob_sum = 0.0238, time = 0.04s
epoch:170 ==>  KL = [0.31171964], logLKH = [-7.00313234], prob_sum = 0.0239, time = 0.05s
epoch:171 ==>  KL = [0.31124517], logLKH = [-6.99648973], prob_sum = 0.0239, time = 0.05s
epoch:172 ==>  KL = [0.31077564], logLKH = [-6.98991632], prob_sum = 0.0240, time = 0.05s
